Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.56it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.59it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.34it/s]
{"update": 1, "examples_seen": 8, "supervised_tokens": 1611, "loss": 0.005251444148598239, "gradient_norm": 0.11554897576570511, "learning_rate": 2e-05, "seconds": 3.777880046999826, "elapsed_training_seconds": 3.7779644290001215}
{"update": 2, "examples_seen": 16, "supervised_tokens": 1392, "loss": 0.0050879404006991535, "gradient_norm": 0.5816036462783813, "learning_rate": 4e-05, "seconds": 3.061732119999988, "elapsed_training_seconds": 6.841783089000046}
{"update": 3, "examples_seen": 24, "supervised_tokens": 1552, "loss": 0.001631378297588526, "gradient_norm": 0.09817849099636078, "learning_rate": 6e-05, "seconds": 3.2484383969999726, "elapsed_training_seconds": 10.091755583000122}
{"update": 4, "examples_seen": 32, "supervised_tokens": 1616, "loss": 0.0029381132044363767, "gradient_norm": 0.10460759699344635, "learning_rate": 8e-05, "seconds": 3.1119936640000105, "elapsed_training_seconds": 13.205313456000113}
{"update": 5, "examples_seen": 40, "supervised_tokens": 1426, "loss": 0.00010490524846318294, "gradient_norm": 0.004722062963992357, "learning_rate": 0.0001, "seconds": 3.0174304360000406, "elapsed_training_seconds": 16.22451765400001}
{"update": 6, "examples_seen": 48, "supervised_tokens": 1553, "loss": 0.00035717295781978464, "gradient_norm": 0.016045838594436646, "learning_rate": 0.0001, "seconds": 3.1952923620001457, "elapsed_training_seconds": 19.42120227999999}
{"update": 7, "examples_seen": 56, "supervised_tokens": 1551, "loss": 0.00010687129588404787, "gradient_norm": 0.004396445583552122, "learning_rate": 0.0001, "seconds": 3.0998974039998757, "elapsed_training_seconds": 22.522569581000198}
{"update": 8, "examples_seen": 64, "supervised_tokens": 1516, "loss": 7.167926287365844e-05, "gradient_norm": 0.002106146886944771, "learning_rate": 0.0001, "seconds": 3.047287073000007, "elapsed_training_seconds": 25.571498923000036}
{"update": 9, "examples_seen": 72, "supervised_tokens": 1435, "loss": 4.231690172673552e-05, "gradient_norm": 0.0012022174196317792, "learning_rate": 0.0001, "seconds": 3.211665124999854, "elapsed_training_seconds": 28.784623563000196}
{"update": 10, "examples_seen": 80, "supervised_tokens": 1338, "loss": 0.007798176473897911, "gradient_norm": 0.26259180903434753, "learning_rate": 0.0001, "seconds": 3.0356808639999144, "elapsed_training_seconds": 31.82235176800009}
{"update": 11, "examples_seen": 88, "supervised_tokens": 1486, "loss": 0.0011936572700506076, "gradient_norm": 0.062188949435949326, "learning_rate": 0.0001, "seconds": 3.2036682640000436, "elapsed_training_seconds": 35.02743677500007}
{"update": 12, "examples_seen": 96, "supervised_tokens": 1579, "loss": 0.00014342467011374538, "gradient_norm": 0.00976081658154726, "learning_rate": 0.0001, "seconds": 3.088745108000012, "elapsed_training_seconds": 38.1178435920001}
{"update": 13, "examples_seen": 104, "supervised_tokens": 1391, "loss": 4.529382295004325e-05, "gradient_norm": 0.0017590665956959128, "learning_rate": 0.0001, "seconds": 2.806266413000003, "elapsed_training_seconds": 40.925699802000054}
{"update": 14, "examples_seen": 112, "supervised_tokens": 1623, "loss": 1.6850731071826885e-05, "gradient_norm": 0.0005174293764866889, "learning_rate": 0.0001, "seconds": 3.2228349829999843, "elapsed_training_seconds": 44.14995122000005}
{"update": 15, "examples_seen": 120, "supervised_tokens": 1239, "loss": 0.004169578446067135, "gradient_norm": 0.48426321148872375, "learning_rate": 0.0001, "seconds": 2.7822621569998773, "elapsed_training_seconds": 46.93360416900009}
{"update": 16, "examples_seen": 128, "supervised_tokens": 1544, "loss": 2.7294685423839837e-05, "gradient_norm": 0.0007923581870272756, "learning_rate": 0.0001, "seconds": 3.1056573930000013, "elapsed_training_seconds": 50.04107193499999}
{"update": 17, "examples_seen": 136, "supervised_tokens": 1687, "loss": 5.3744707201985875e-05, "gradient_norm": 0.003101160516962409, "learning_rate": 0.0001, "seconds": 3.263115910999886, "elapsed_training_seconds": 53.30562606900003}
{"update": 18, "examples_seen": 144, "supervised_tokens": 1386, "loss": 0.0004570374721879489, "gradient_norm": 0.058388929814100266, "learning_rate": 0.0001, "seconds": 3.100455468999826, "elapsed_training_seconds": 56.407584824000196}
{"update": 19, "examples_seen": 152, "supervised_tokens": 1548, "loss": 0.00011795113596235751, "gradient_norm": 0.06621705740690231, "learning_rate": 0.0001, "seconds": 3.1053380549999474, "elapsed_training_seconds": 59.514458715000046}
{"update": 20, "examples_seen": 160, "supervised_tokens": 1134, "loss": 3.48112025676528e-05, "gradient_norm": 0.0009272954193875194, "learning_rate": 0.0001, "seconds": 3.1592549879999297, "elapsed_training_seconds": 62.67535483300003}
{"update": 21, "examples_seen": 168, "supervised_tokens": 1510, "loss": 5.9387182318459963e-05, "gradient_norm": 0.0031690760515630245, "learning_rate": 0.0001, "seconds": 3.117202439000039, "elapsed_training_seconds": 65.793912395}
{"update": 22, "examples_seen": 176, "supervised_tokens": 1326, "loss": 2.76723553724878e-05, "gradient_norm": 0.0007636620430275798, "learning_rate": 0.0001, "seconds": 2.959689161000142, "elapsed_training_seconds": 68.75526172700006}
{"update": 23, "examples_seen": 184, "supervised_tokens": 1319, "loss": 0.001101626123272581, "gradient_norm": 0.2568478286266327, "learning_rate": 0.0001, "seconds": 2.9953925669999535, "elapsed_training_seconds": 71.75245428800008}
{"update": 24, "examples_seen": 192, "supervised_tokens": 1439, "loss": 0.001786813114904362, "gradient_norm": 0.09743683785200119, "learning_rate": 0.0001, "seconds": 2.8301737140000114, "elapsed_training_seconds": 74.58410543800005}
{"update": 25, "examples_seen": 200, "supervised_tokens": 1548, "loss": 0.0001801294138203957, "gradient_norm": 0.014854412525892258, "learning_rate": 0.0001, "seconds": 3.239103392000061, "elapsed_training_seconds": 77.82463491600015}
{"update": 26, "examples_seen": 208, "supervised_tokens": 1466, "loss": 3.334838675073115e-05, "gradient_norm": 0.0011630457593128085, "learning_rate": 0.0001, "seconds": 3.0607807359999697, "elapsed_training_seconds": 80.8869102980002}
{"update": 27, "examples_seen": 216, "supervised_tokens": 1471, "loss": 5.34595237695612e-05, "gradient_norm": 0.005809553898870945, "learning_rate": 0.0001, "seconds": 3.119988385999932, "elapsed_training_seconds": 84.00846427300007}
{"update": 28, "examples_seen": 224, "supervised_tokens": 1362, "loss": 0.0012471147219912382, "gradient_norm": 0.09024043381214142, "learning_rate": 0.0001, "seconds": 3.187634899999921, "elapsed_training_seconds": 87.197887305}
{"update": 29, "examples_seen": 232, "supervised_tokens": 1557, "loss": 2.847795940397191e-05, "gradient_norm": 0.0006117785233072937, "learning_rate": 0.0001, "seconds": 3.115227222000158, "elapsed_training_seconds": 90.315051735}
{"update": 30, "examples_seen": 240, "supervised_tokens": 1184, "loss": 3.987533500549034e-05, "gradient_norm": 0.0010010935366153717, "learning_rate": 0.0001, "seconds": 3.201599064999982, "elapsed_training_seconds": 93.5181003040002}
{"update": 31, "examples_seen": 248, "supervised_tokens": 1289, "loss": 4.123673647882242e-05, "gradient_norm": 0.0017135986126959324, "learning_rate": 0.0001, "seconds": 3.0442250999999487, "elapsed_training_seconds": 96.56371595600012}
{"update": 32, "examples_seen": 256, "supervised_tokens": 996, "loss": 5.461846353682631e-05, "gradient_norm": 0.002394845010712743, "learning_rate": 0.0001, "seconds": 2.77527934800014, "elapsed_training_seconds": 99.34061361300019}
{"update": 33, "examples_seen": 264, "supervised_tokens": 1521, "loss": 7.197388845270325e-05, "gradient_norm": 0.002058480167761445, "learning_rate": 0.0001, "seconds": 3.217921054000044, "elapsed_training_seconds": 102.559941192}
{"update": 34, "examples_seen": 272, "supervised_tokens": 1584, "loss": 0.0001291307444262202, "gradient_norm": 0.00490708788856864, "learning_rate": 0.0001, "seconds": 3.1129556180001146, "elapsed_training_seconds": 105.67449044900013}
{"update": 35, "examples_seen": 280, "supervised_tokens": 1617, "loss": 0.0002193592581534176, "gradient_norm": 0.007134473416954279, "learning_rate": 0.0001, "seconds": 3.19659664400001, "elapsed_training_seconds": 108.87274784300007}
{"update": 36, "examples_seen": 288, "supervised_tokens": 1580, "loss": 0.0003696106869028881, "gradient_norm": 0.03261924535036087, "learning_rate": 0.0001, "seconds": 3.1459369680001146, "elapsed_training_seconds": 112.02022874800014}
{"update": 37, "examples_seen": 296, "supervised_tokens": 1314, "loss": 6.442116091420758e-05, "gradient_norm": 0.00297903991304338, "learning_rate": 0.0001, "seconds": 2.8080220029999055, "elapsed_training_seconds": 114.82960112500018}
{"update": 38, "examples_seen": 304, "supervised_tokens": 1579, "loss": 0.00018217085516880616, "gradient_norm": 0.01025212462991476, "learning_rate": 0.0001, "seconds": 3.2561552019999453, "elapsed_training_seconds": 118.08768808400009}
{"update": 39, "examples_seen": 312, "supervised_tokens": 1203, "loss": 3.390832398508792e-05, "gradient_norm": 0.0007360355230048299, "learning_rate": 0.0001, "seconds": 2.8044564179999725, "elapsed_training_seconds": 120.89359060700008}
{"update": 40, "examples_seen": 320, "supervised_tokens": 1581, "loss": 4.355914575171482e-05, "gradient_norm": 0.0041061039082705975, "learning_rate": 0.0001, "seconds": 3.0946483390000594, "elapsed_training_seconds": 123.98977079300016}
{"update": 41, "examples_seen": 328, "supervised_tokens": 1536, "loss": 0.0002890703294724517, "gradient_norm": 0.03216485679149628, "learning_rate": 0.0001, "seconds": 3.2674331240000356, "elapsed_training_seconds": 127.25882994400013}
{"update": 42, "examples_seen": 336, "supervised_tokens": 1542, "loss": 2.174510291297338e-05, "gradient_norm": 0.0005034534260630608, "learning_rate": 0.0001, "seconds": 3.143609172999959, "elapsed_training_seconds": 130.40381308100018}
{"update": 43, "examples_seen": 344, "supervised_tokens": 1473, "loss": 2.689356961127487e-05, "gradient_norm": 0.0007091685547493398, "learning_rate": 0.0001, "seconds": 3.188038378000101, "elapsed_training_seconds": 133.5933038940002}
{"update": 44, "examples_seen": 352, "supervised_tokens": 1499, "loss": 0.00041939255879697157, "gradient_norm": 0.012459971942007542, "learning_rate": 0.0001, "seconds": 3.0813629700001, "elapsed_training_seconds": 136.676167761}
{"update": 45, "examples_seen": 360, "supervised_tokens": 1441, "loss": 2.4862871782715956e-05, "gradient_norm": 0.000780878122895956, "learning_rate": 0.0001, "seconds": 3.108957781000072, "elapsed_training_seconds": 139.78643196400003}
{"update": 46, "examples_seen": 368, "supervised_tokens": 1684, "loss": 2.9836761996193673e-05, "gradient_norm": 0.002024365123361349, "learning_rate": 0.0001, "seconds": 3.2719562419999875, "elapsed_training_seconds": 143.0599791740001}
{"update": 47, "examples_seen": 376, "supervised_tokens": 1547, "loss": 1.5276493513738387e-05, "gradient_norm": 0.0005418774671852589, "learning_rate": 0.0001, "seconds": 3.141684767000015, "elapsed_training_seconds": 146.203134116}
{"update": 48, "examples_seen": 384, "supervised_tokens": 1542, "loss": 1.7512502154204412e-05, "gradient_norm": 0.0003603641816880554, "learning_rate": 0.0001, "seconds": 3.147818273999974, "elapsed_training_seconds": 149.35298033900017}
