Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.47it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.55it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.27it/s]
{"update": 1, "examples_seen": 8, "supervised_tokens": 1627, "loss": 0.0016006790851861297, "gradient_norm": 0.07323955744504929, "learning_rate": 2e-05, "seconds": 3.533369697000012, "elapsed_training_seconds": 3.533455707999906}
{"update": 2, "examples_seen": 16, "supervised_tokens": 1455, "loss": 0.0031073185018613003, "gradient_norm": 0.09129416197538376, "learning_rate": 4e-05, "seconds": 3.0756306829999858, "elapsed_training_seconds": 6.611340079999991}
{"update": 3, "examples_seen": 24, "supervised_tokens": 1519, "loss": 0.005695073709830467, "gradient_norm": 0.12944595515727997, "learning_rate": 6e-05, "seconds": 3.2552441179999505, "elapsed_training_seconds": 9.867880775000003}
{"update": 4, "examples_seen": 32, "supervised_tokens": 1305, "loss": 0.0007609650533595413, "gradient_norm": 0.049832794815301895, "learning_rate": 8e-05, "seconds": 2.83171164099997, "elapsed_training_seconds": 12.700798541999916}
{"update": 5, "examples_seen": 40, "supervised_tokens": 1308, "loss": 0.002269056133854974, "gradient_norm": 0.1714954376220703, "learning_rate": 0.0001, "seconds": 3.0749991299999238, "elapsed_training_seconds": 15.777401545999965}
{"update": 6, "examples_seen": 48, "supervised_tokens": 1391, "loss": 0.0009735656021803152, "gradient_norm": 0.09127474576234818, "learning_rate": 0.0001, "seconds": 2.697503762999986, "elapsed_training_seconds": 18.476248116999955}
{"update": 7, "examples_seen": 56, "supervised_tokens": 1498, "loss": 0.005592348657955881, "gradient_norm": 0.188764289021492, "learning_rate": 0.0001, "seconds": 3.121915116000082, "elapsed_training_seconds": 21.599643083999922}
{"update": 8, "examples_seen": 64, "supervised_tokens": 1385, "loss": 0.005562099773669615, "gradient_norm": 0.18707643449306488, "learning_rate": 0.0001, "seconds": 3.1134691700000303, "elapsed_training_seconds": 24.714387178999914}
{"update": 9, "examples_seen": 72, "supervised_tokens": 1562, "loss": 0.0037167342507018475, "gradient_norm": 0.11678928136825562, "learning_rate": 0.0001, "seconds": 3.272816105000061, "elapsed_training_seconds": 27.988755916999935}
{"update": 10, "examples_seen": 80, "supervised_tokens": 1429, "loss": 9.509449751021748e-05, "gradient_norm": 0.004198325797915459, "learning_rate": 0.0001, "seconds": 2.7925683689999232, "elapsed_training_seconds": 30.78265765399999}
{"update": 11, "examples_seen": 88, "supervised_tokens": 1549, "loss": 4.678574032368488e-05, "gradient_norm": 0.0013223104178905487, "learning_rate": 0.0001, "seconds": 3.0964429610000934, "elapsed_training_seconds": 33.880842480999945}
{"update": 12, "examples_seen": 96, "supervised_tokens": 1441, "loss": 6.202694839885226e-05, "gradient_norm": 0.0016128181014209986, "learning_rate": 0.0001, "seconds": 3.242423946000031, "elapsed_training_seconds": 37.125234038999906}
{"update": 13, "examples_seen": 104, "supervised_tokens": 1613, "loss": 4.7186782467179e-05, "gradient_norm": 0.0030483617447316647, "learning_rate": 0.0001, "seconds": 3.123934509000037, "elapsed_training_seconds": 40.25068498799999}
{"update": 14, "examples_seen": 112, "supervised_tokens": 1607, "loss": 0.00040505380638933275, "gradient_norm": 0.03863513469696045, "learning_rate": 0.0001, "seconds": 3.2480341650000355, "elapsed_training_seconds": 43.5000782919999}
{"update": 15, "examples_seen": 120, "supervised_tokens": 1393, "loss": 6.567089667441905e-05, "gradient_norm": 0.0027053137309849262, "learning_rate": 0.0001, "seconds": 3.0839795189999677, "elapsed_training_seconds": 46.585587613999905}
{"update": 16, "examples_seen": 128, "supervised_tokens": 1527, "loss": 0.0007609832587149867, "gradient_norm": 0.058082014322280884, "learning_rate": 0.0001, "seconds": 3.1352428860000146, "elapsed_training_seconds": 49.72229852999999}
{"update": 17, "examples_seen": 136, "supervised_tokens": 1556, "loss": 0.0004064601907884935, "gradient_norm": 0.029350927099585533, "learning_rate": 0.0001, "seconds": 3.277937073000089, "elapsed_training_seconds": 53.001777484999934}
{"update": 18, "examples_seen": 144, "supervised_tokens": 1544, "loss": 0.0001200046933718113, "gradient_norm": 0.012020318768918514, "learning_rate": 0.0001, "seconds": 3.094442400000048, "elapsed_training_seconds": 56.097883028999945}
{"update": 19, "examples_seen": 152, "supervised_tokens": 1476, "loss": 0.0006974259517846804, "gradient_norm": 0.04806721583008766, "learning_rate": 0.0001, "seconds": 2.807084273999976, "elapsed_training_seconds": 58.906411091999985}
{"update": 20, "examples_seen": 160, "supervised_tokens": 1330, "loss": 2.0932704956067028e-05, "gradient_norm": 0.0004187497834209353, "learning_rate": 0.0001, "seconds": 2.9352884969999877, "elapsed_training_seconds": 61.84380541299993}
{"update": 21, "examples_seen": 168, "supervised_tokens": 1528, "loss": 2.8958582333871163e-05, "gradient_norm": 0.0004696423711720854, "learning_rate": 0.0001, "seconds": 2.842426165000006, "elapsed_training_seconds": 64.68760726799997}
{"update": 22, "examples_seen": 176, "supervised_tokens": 1492, "loss": 0.00016588664811933995, "gradient_norm": 0.014237591996788979, "learning_rate": 0.0001, "seconds": 3.279787931000101, "elapsed_training_seconds": 67.96881354899995}
{"update": 23, "examples_seen": 184, "supervised_tokens": 1692, "loss": 1.9543331745808246e-05, "gradient_norm": 0.0003864846075884998, "learning_rate": 0.0001, "seconds": 3.174265766000076, "elapsed_training_seconds": 71.14450712399992}
{"update": 24, "examples_seen": 192, "supervised_tokens": 1512, "loss": 0.0002043873143975361, "gradient_norm": 0.013222659938037395, "learning_rate": 0.0001, "seconds": 3.106565133999993, "elapsed_training_seconds": 74.25234372399996}
