Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 56.58it/s]
{"stage": "prepared_agent_a", "completed": 132, "tokens": 208, "seconds": 9.79437934699996}
{"stage": "prepared_agent_a", "completed": 133, "tokens": 234, "seconds": 10.355801234000012}
{"stage": "prepared_agent_a", "completed": 134, "tokens": 168, "seconds": 7.461478836000026}
{"stage": "prepared_agent_a", "completed": 135, "tokens": 167, "seconds": 7.405265271000019}
{"stage": "prepared_agent_a", "completed": 136, "tokens": 196, "seconds": 8.677168240000015}
{"stage": "prepared_agent_a", "completed": 137, "tokens": 167, "seconds": 7.391211897000005}
{"stage": "prepared_agent_a", "completed": 138, "tokens": 205, "seconds": 9.059669100000008}
{"stage": "prepared_agent_a", "completed": 139, "tokens": 172, "seconds": 7.629824126000017}
{"stage": "prepared_agent_a", "completed": 140, "tokens": 209, "seconds": 9.27307927000004}
{"stage": "prepared_agent_a", "completed": 141, "tokens": 168, "seconds": 7.442205735000016}
{"stage": "prepared_agent_a", "completed": 142, "tokens": 208, "seconds": 9.226258738000013}
{"stage": "prepared_agent_a", "completed": 143, "tokens": 207, "seconds": 9.18620604299997}
{"stage": "prepared_agent_a", "completed": 144, "tokens": 193, "seconds": 8.58488564999999}
{"stage": "prepared_agent_a", "completed": 145, "tokens": 170, "seconds": 7.537079284000015}
{"stage": "prepared_agent_a", "completed": 146, "tokens": 206, "seconds": 9.143978091000008}
{"stage": "prepared_agent_a", "completed": 147, "tokens": 207, "seconds": 9.217010301000016}
{"stage": "prepared_agent_a", "completed": 148, "tokens": 196, "seconds": 8.840112401999988}
{"stage": "prepared_agent_a", "completed": 149, "tokens": 170, "seconds": 7.5364675980000015}
{"stage": "prepared_agent_a", "completed": 150, "tokens": 209, "seconds": 9.266597850999972}
{"stage": "prepared_agent_a", "completed": 151, "tokens": 207, "seconds": 9.111134219000007}
{"stage": "prepared_agent_a", "completed": 152, "tokens": 205, "seconds": 9.060909361999961}
{"stage": "prepared_agent_a", "completed": 153, "tokens": 168, "seconds": 7.476349744999993}
{"stage": "prepared_agent_a", "completed": 154, "tokens": 235, "seconds": 10.439675085999966}
{"stage": "prepared_agent_a", "completed": 155, "tokens": 169, "seconds": 7.507772629999977}
{"stage": "prepared_agent_a", "completed": 156, "tokens": 206, "seconds": 9.131796166999948}
{"stage": "prepared_agent_a", "completed": 157, "tokens": 198, "seconds": 8.758635765999998}
{"stage": "prepared_agent_a", "completed": 158, "tokens": 210, "seconds": 9.311015262000069}
{"stage": "prepared_agent_a", "completed": 159, "tokens": 129, "seconds": 5.796561307000047}
{"stage": "prepared_agent_a", "completed": 160, "tokens": 201, "seconds": 8.910209750000035}
{"stage": "prepared_agent_a", "completed": 161, "tokens": 208, "seconds": 9.239703988999963}
{"stage": "prepared_agent_a", "completed": 162, "tokens": 166, "seconds": 7.398340024999925}
{"stage": "prepared_agent_a", "completed": 163, "tokens": 164, "seconds": 7.283817119999981}
{"stage": "prepared_agent_a", "completed": 164, "tokens": 194, "seconds": 8.788729073000013}
{"stage": "prepared_agent_a", "completed": 165, "tokens": 206, "seconds": 9.128030626000054}
{"stage": "prepared_agent_a", "completed": 166, "tokens": 194, "seconds": 8.626476695000065}
{"stage": "prepared_agent_a", "completed": 167, "tokens": 200, "seconds": 8.894069736999995}
{"stage": "prepared_agent_a", "completed": 168, "tokens": 299, "seconds": 13.290120451999996}
{"stage": "prepared_agent_a", "completed": 169, "tokens": 204, "seconds": 9.087927608999962}
{"stage": "prepared_agent_a", "completed": 170, "tokens": 206, "seconds": 9.167160796999951}
{"stage": "prepared_agent_a", "completed": 171, "tokens": 195, "seconds": 8.699613817}
