Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 55.52it/s]
{"stage": "qwen_agent_a", "completed": 444, "tokens": 167, "seconds": 8.322581566999986}
{"stage": "qwen_agent_a", "completed": 445, "tokens": 231, "seconds": 10.64866956200001}
{"stage": "qwen_agent_a", "completed": 446, "tokens": 208, "seconds": 9.608375491000004}
{"stage": "qwen_agent_a", "completed": 447, "tokens": 205, "seconds": 9.442662778999988}
{"stage": "qwen_agent_a", "completed": 448, "tokens": 206, "seconds": 9.47529798100004}
{"stage": "qwen_agent_a", "completed": 449, "tokens": 207, "seconds": 9.524859874999947}
{"stage": "qwen_agent_a", "completed": 450, "tokens": 167, "seconds": 7.7027992909999625}
{"stage": "qwen_agent_a", "completed": 451, "tokens": 200, "seconds": 9.253433376999965}
{"stage": "qwen_agent_a", "completed": 452, "tokens": 168, "seconds": 7.723626897000031}
{"stage": "qwen_agent_a", "completed": 453, "tokens": 208, "seconds": 9.567502954999895}
{"stage": "qwen_agent_a", "completed": 454, "tokens": 196, "seconds": 9.009373540999945}
{"stage": "qwen_agent_a", "completed": 455, "tokens": 207, "seconds": 9.497922262999964}
{"stage": "qwen_agent_a", "completed": 456, "tokens": 209, "seconds": 9.61472135400004}
{"stage": "qwen_agent_a", "completed": 457, "tokens": 204, "seconds": 9.403875624999955}
{"stage": "qwen_agent_a", "completed": 458, "tokens": 208, "seconds": 9.58602130099996}
{"stage": "qwen_agent_a", "completed": 459, "tokens": 241, "seconds": 11.215988924000044}
{"stage": "qwen_agent_a", "completed": 460, "tokens": 168, "seconds": 7.7246820719999505}
{"stage": "qwen_agent_a", "completed": 461, "tokens": 169, "seconds": 7.770598494000069}
{"stage": "qwen_agent_a", "completed": 462, "tokens": 169, "seconds": 7.776313609999988}
{"stage": "qwen_agent_a", "completed": 463, "tokens": 206, "seconds": 9.442029484999921}
{"stage": "qwen_agent_a", "completed": 464, "tokens": 210, "seconds": 9.628848273000017}
{"stage": "qwen_agent_a", "completed": 465, "tokens": 204, "seconds": 9.343012148999946}
{"stage": "qwen_agent_a", "completed": 466, "tokens": 197, "seconds": 9.098933224999996}
{"stage": "qwen_agent_a", "completed": 467, "tokens": 168, "seconds": 7.816627267999934}
{"stage": "qwen_agent_a", "completed": 468, "tokens": 206, "seconds": 9.577778270999943}
{"stage": "qwen_agent_a", "completed": 469, "tokens": 129, "seconds": 6.006162180999922}
{"stage": "qwen_agent_a", "completed": 470, "tokens": 204, "seconds": 9.456860552999956}
{"stage": "qwen_agent_a", "completed": 471, "tokens": 206, "seconds": 9.572567357000025}
{"stage": "qwen_agent_a", "completed": 472, "tokens": 205, "seconds": 9.532777100999965}
{"stage": "qwen_agent_a", "completed": 473, "tokens": 241, "seconds": 11.178430085999935}
{"stage": "qwen_agent_a", "completed": 474, "tokens": 168, "seconds": 7.833623727000031}
{"stage": "qwen_agent_a", "completed": 475, "tokens": 208, "seconds": 9.802339970000048}
{"stage": "qwen_agent_a", "completed": 476, "tokens": 167, "seconds": 7.7492751439999665}
{"stage": "qwen_agent_a", "completed": 477, "tokens": 233, "seconds": 10.791098498999986}
{"stage": "qwen_agent_a", "completed": 478, "tokens": 159, "seconds": 7.373783617999948}
