Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 56.68it/s]
{"stage": "qwen_human", "completed": 350, "tokens": 167, "seconds": 8.350641660000008}
{"stage": "qwen_human", "completed": 351, "tokens": 204, "seconds": 9.469697466000014}
{"stage": "qwen_human", "completed": 352, "tokens": 194, "seconds": 8.997576869}
{"stage": "qwen_human", "completed": 353, "tokens": 172, "seconds": 7.995924948999971}
{"stage": "qwen_human", "completed": 354, "tokens": 206, "seconds": 9.562475860000006}
{"stage": "qwen_human", "completed": 355, "tokens": 265, "seconds": 12.277477868999995}
{"stage": "qwen_human", "completed": 356, "tokens": 205, "seconds": 9.530610599}
{"stage": "qwen_human", "completed": 357, "tokens": 207, "seconds": 9.605460112000003}
{"stage": "qwen_human", "completed": 358, "tokens": 207, "seconds": 9.596863831999997}
{"stage": "qwen_human", "completed": 359, "tokens": 237, "seconds": 11.020356487000015}
{"stage": "qwen_human", "completed": 360, "tokens": 169, "seconds": 7.834629882999991}
{"stage": "qwen_human", "completed": 361, "tokens": 233, "seconds": 10.840837016000023}
{"stage": "qwen_human", "completed": 362, "tokens": 211, "seconds": 9.805581977000031}
{"stage": "qwen_human", "completed": 363, "tokens": 168, "seconds": 7.823960089999957}
{"stage": "qwen_human", "completed": 364, "tokens": 167, "seconds": 7.7842492909999805}
{"stage": "qwen_human", "completed": 365, "tokens": 130, "seconds": 6.2128114770000025}
{"stage": "qwen_human", "completed": 366, "tokens": 198, "seconds": 9.18404706299998}
{"stage": "qwen_human", "completed": 367, "tokens": 168, "seconds": 7.798731662000023}
{"stage": "qwen_human", "completed": 368, "tokens": 207, "seconds": 9.609460630000001}
{"stage": "qwen_human", "completed": 369, "tokens": 205, "seconds": 9.538897734999978}
{"stage": "qwen_human", "completed": 370, "tokens": 208, "seconds": 9.690248642999961}
{"stage": "qwen_human", "completed": 371, "tokens": 169, "seconds": 7.8579904879999845}
{"stage": "qwen_human", "completed": 372, "tokens": 169, "seconds": 7.852405675}
{"stage": "qwen_human", "completed": 373, "tokens": 236, "seconds": 10.961030230000006}
{"stage": "qwen_human", "completed": 374, "tokens": 132, "seconds": 6.168239018999998}
{"stage": "qwen_human", "completed": 375, "tokens": 208, "seconds": 9.665356339000027}
{"stage": "qwen_human", "completed": 376, "tokens": 208, "seconds": 9.66855073499994}
{"stage": "qwen_human", "completed": 377, "tokens": 195, "seconds": 9.086185591999993}
{"stage": "qwen_human", "completed": 378, "tokens": 207, "seconds": 9.629108519000056}
{"stage": "qwen_human", "completed": 379, "tokens": 199, "seconds": 9.260728751000102}
{"stage": "qwen_human", "completed": 380, "tokens": 206, "seconds": 9.585292841999944}
{"stage": "qwen_human", "completed": 381, "tokens": 169, "seconds": 7.855182237999998}
{"stage": "qwen_human", "completed": 382, "tokens": 166, "seconds": 7.832655403999979}
{"stage": "qwen_human", "completed": 383, "tokens": 237, "seconds": 10.951939913000047}
{"stage": "qwen_human", "completed": 384, "tokens": 207, "seconds": 9.565709919000028}
{"stage": "qwen_human", "completed": 385, "tokens": 197, "seconds": 9.10994314900006}
{"stage": "qwen_human", "completed": 386, "tokens": 205, "seconds": 9.475607788999923}
{"stage": "qwen_human", "completed": 387, "tokens": 168, "seconds": 7.774140878000026}
{"stage": "qwen_human", "completed": 388, "tokens": 205, "seconds": 9.528020530000049}
{"stage": "qwen_human", "completed": 389, "tokens": 233, "seconds": 10.962316589000011}
{"stage": "qwen_human", "completed": 390, "tokens": 206, "seconds": 9.685991486000034}
{"stage": "qwen_human", "completed": 391, "tokens": 206, "seconds": 9.689361213999973}
{"stage": "qwen_human", "completed": 392, "tokens": 127, "seconds": 5.927648155999918}
{"stage": "qwen_human", "completed": 393, "tokens": 169, "seconds": 7.885100434000037}
{"stage": "qwen_human", "completed": 394, "tokens": 197, "seconds": 9.121862166000028}
{"stage": "qwen_human", "completed": 395, "tokens": 167, "seconds": 7.740719934000026}
{"stage": "qwen_human", "completed": 396, "tokens": 194, "seconds": 9.002386078000086}
{"stage": "qwen_human", "completed": 397, "tokens": 232, "seconds": 10.734451336999996}
{"stage": "qwen_human", "completed": 398, "tokens": 198, "seconds": 9.288878006999994}
{"stage": "qwen_human", "completed": 399, "tokens": 209, "seconds": 9.655351790000054}
{"stage": "qwen_human", "completed": 400, "tokens": 195, "seconds": 9.045439261999945}
{"stage": "qwen_human", "completed": 401, "tokens": 167, "seconds": 7.7386591999999155}
{"stage": "qwen_human", "completed": 402, "tokens": 206, "seconds": 9.535747614000002}
{"stage": "qwen_human", "completed": 403, "tokens": 170, "seconds": 7.881796155000075}
{"stage": "qwen_human", "completed": 404, "tokens": 128, "seconds": 5.942373047999922}
{"stage": "qwen_human", "completed": 405, "tokens": 241, "seconds": 11.152599474999988}
{"stage": "qwen_human", "completed": 406, "tokens": 192, "seconds": 8.911040727}
{"stage": "qwen_human", "completed": 407, "tokens": 168, "seconds": 7.793020874999911}
{"stage": "qwen_human", "completed": 408, "tokens": 240, "seconds": 11.122796303999962}
{"stage": "qwen_human", "completed": 409, "tokens": 170, "seconds": 7.87568021300001}
{"stage": "qwen_human", "completed": 410, "tokens": 209, "seconds": 9.701933513000085}
{"stage": "qwen_human", "completed": 411, "tokens": 195, "seconds": 9.05337168199992}
{"stage": "qwen_human", "completed": 412, "tokens": 209, "seconds": 9.697628289000022}
{"stage": "qwen_human", "completed": 413, "tokens": 206, "seconds": 9.562937463000026}
{"stage": "qwen_human", "completed": 414, "tokens": 205, "seconds": 9.553158175000021}
{"stage": "qwen_human", "completed": 415, "tokens": 206, "seconds": 9.653364152999984}
{"stage": "qwen_human", "completed": 416, "tokens": 171, "seconds": 7.9043937609999375}
{"stage": "qwen_human", "completed": 417, "tokens": 204, "seconds": 9.450683432999995}
{"stage": "qwen_human", "completed": 418, "tokens": 207, "seconds": 9.573743487999991}
{"stage": "qwen_human", "completed": 419, "tokens": 204, "seconds": 9.457046148000018}
{"stage": "qwen_human", "completed": 420, "tokens": 166, "seconds": 7.699069820000091}
{"stage": "qwen_human", "completed": 421, "tokens": 208, "seconds": 9.651285054000027}
{"stage": "qwen_human", "completed": 422, "tokens": 167, "seconds": 7.7664590580000095}
{"stage": "qwen_human", "completed": 423, "tokens": 165, "seconds": 7.677765482000041}
{"stage": "qwen_human", "completed": 424, "tokens": 169, "seconds": 7.853168707000009}
{"stage": "qwen_human", "completed": 425, "tokens": 167, "seconds": 7.766738252999971}
{"stage": "qwen_human", "completed": 426, "tokens": 206, "seconds": 9.567102664000004}
{"stage": "qwen_human", "completed": 427, "tokens": 204, "seconds": 9.469100454999989}
{"stage": "qwen_human", "completed": 428, "tokens": 197, "seconds": 9.158506311999986}
{"stage": "qwen_human", "completed": 429, "tokens": 170, "seconds": 7.924243070999978}
{"stage": "qwen_human", "completed": 430, "tokens": 235, "seconds": 10.915829446000089}
{"stage": "qwen_human", "completed": 431, "tokens": 168, "seconds": 7.942500498000072}
{"stage": "qwen_human", "completed": 432, "tokens": 205, "seconds": 9.513755835999973}
{"stage": "qwen_human", "completed": 433, "tokens": 166, "seconds": 7.725672048999968}
{"stage": "qwen_human", "completed": 434, "tokens": 167, "seconds": 7.769394862999889}
{"stage": "qwen_human", "completed": 435, "tokens": 167, "seconds": 7.749923296000134}
{"stage": "qwen_human", "completed": 436, "tokens": 206, "seconds": 9.563605354000174}
{"stage": "qwen_human", "completed": 437, "tokens": 167, "seconds": 7.7614393010001095}
{"stage": "qwen_human", "completed": 438, "tokens": 209, "seconds": 9.672909791999928}
{"stage": "qwen_human", "completed": 439, "tokens": 170, "seconds": 7.896906716000103}
{"stage": "qwen_human", "completed": 440, "tokens": 209, "seconds": 9.66608101099996}
{"stage": "qwen_human", "completed": 441, "tokens": 227, "seconds": 10.514477606000128}
{"stage": "qwen_human", "completed": 442, "tokens": 167, "seconds": 7.744331601000113}
{"stage": "qwen_human", "completed": 443, "tokens": 167, "seconds": 7.747287075000031}
{"stage": "qwen_human", "completed": 444, "tokens": 167, "seconds": 7.743997256999819}
{"stage": "qwen_human", "completed": 445, "tokens": 236, "seconds": 10.941909172999885}
{"stage": "qwen_human", "completed": 446, "tokens": 208, "seconds": 9.650885098000117}
{"stage": "qwen_human", "completed": 447, "tokens": 205, "seconds": 9.504298892999941}
{"stage": "qwen_human", "completed": 448, "tokens": 206, "seconds": 9.650320518999933}
{"stage": "qwen_human", "completed": 449, "tokens": 207, "seconds": 9.548910719000105}
{"stage": "qwen_human", "completed": 450, "tokens": 167, "seconds": 7.729027045000066}
